Symbol,Name,Enzyme,Family,Hac,H3K4me,H3K36me,H3K79me,H3K9me,H3K27me,H4K20me,H2AZK7me
Kat2a,Gcn5,Writer,GNAT,H3ac,0,0,0,0,0,0,0
Kat2b,Pcaf,Writer,GNAT,H3ac,0,0,0,0,0,0,0
Hat1,Hat1,Writer,GNAT,H2/H4ac,0,0,0,0,0,0,0
Atf2,Atf2,Writer,GNAT,H2/H4ac,0,0,0,0,0,0,0
Naa40,Naa40,Writer,NAT,H2/H4ac,0,0,0,0,0,0,0
Naa50,Naa50,Writer,NAT,H4ac,0,0,0,0,0,0,0
Nat15,Naa60,Writer,NAT,H4ac,0,0,0,0,0,0,0
Kat5,Tip60,Writer,MYST,H2/H4ac,0,0,0,0,0,0,0
Myst1,Myst1,Writer,MYST,H4ac,0,0,0,0,0,0,0
Myst2,Myst2,Writer,MYST,H3/H4ac,0,0,0,0,0,0,0
Myst3,Myst3,Writer,MYST,H3/H4ac,0,0,0,0,0,0,0
Myst4,Myst4,Writer,MYST,H3ac,0,0,0,0,0,0,0
Ep300,Ep300,Writer,p300/CBP,H3ac,0,0,0,0,0,0,0
Crebbp,Crebbp,Writer,p300/CBP,H3ac,0,0,0,0,0,0,0
Ncoa1,Ncoa1,Writer,SRC,H3/H4ac,0,0,0,0,0,0,0
Ncoa3,Ncoa3,Writer,SRC,H3ac,0,0,0,0,0,0,0
Clock,Clock,Writer,other,H3ac,0,0,0,0,0,0,0
Supt7l,Supt7l,Writer,other,H3ac,0,0,0,0,0,0,0
Msl3,Msl3,Writer,other,H4ac,0,0,0,0,0,0,0
Mcm3ap,Mcm3ap,Writer,other,H3ac,0,0,0,0,0,0,0
Brca2,Brca2,Writer,other,H3ac,0,0,0,0,0,0,0
Gtf3c4,Gtf3c4,Writer,other,H3ac,0,0,0,0,0,0,0
Hdac1,Hdac1,Eraser,Class I,Hac,0,0,0,0,0,0,0
Hdac2,Hdac2,Eraser,Class I,Hac,0,0,0,0,0,0,0
Hdac3,Hdac3,Eraser,Class I,Hac,0,0,0,0,0,0,0
Hdac8,Hdac8,Eraser,Class I,Hac,0,0,0,0,0,0,0
Hdac4,Hdac4,Eraser,Class IIa,Hac,0,0,0,0,0,0,0
Hdac5,Hdac5,Eraser,Class IIa,Hac,0,0,0,0,0,0,0
Hdac7,Hdac7,Eraser,Class IIa,Hac,0,0,0,0,0,0,0
Hdac9,Hdac9,Eraser,Class IIa,Hac,0,0,0,0,0,0,0
Hdac11,Hdac11,Eraser,Class IV,Hac,0,0,0,0,0,0,0
Sirt1,Sirt1,Eraser,Class III,Hac,0,0,0,0,0,0,0
Sirt2,Sirt2,Eraser,Class III,Hac,0,0,0,0,0,0,0
Sirt3,Sirt3,Eraser,Class III,Hac,0,0,0,0,0,0,0
Sirt5,Sirt5,Eraser,Class III,Hac,0,0,0,0,0,0,0
Sirt6,Sirt6,Eraser,Class III,Hac,0,0,0,0,0,0,0
Sirt7,Sirt7,Eraser,Class III,Hac,0,0,0,0,0,0,0
Suv39h1,Suv39h1,Writer,KMT1,0,0,0,0,me3,0,0,0
Suv39h2,Suv39h2 ,Writer,KMT1,0,0,0,0,me3,0,0,0
Ehmt1,Ehmt1,Writer,KMT1,0,0,0,0,me2,0,0,0
Ehmt2,Ehmt2,Writer,KMT1,0,0,0,0,me2,0,0,0
Setdb1,Setdb1,Writer,KMT1,0,0,0,0,me3,0,0,0
Setdb2,Setdb2,Writer,KMT1,0,0,0,0,me3,0,0,0
Mll1,Mll1,Writer,KMT2,0,me3,0,0,0,0,0,0
Mll2,Mll2,Writer,KMT2,0,me3,0,0,0,0,0,0
Mll3,Mll3,Writer,KMT2,0,me3,0,0,0,0,0,0
Setd1a,Setd1a,Writer,KMT2,0,me3,0,0,0,0,0,0
